Title,imdbID,Rating,WatchedDate,Tags,Review
前行者,null,4,2021/11/14,null,null
冰血长津湖,tt10168044,5,2021/10/10,null,null
长津湖,tt13462900,4,2021/10/1,null,null
云南虫谷,tt15299712,3,2021/9/25,null,null
王国：北方的阿信 / 킹덤：아신전,tt13412252,4,2021/8/10,null,null
大决战,tt16923976,4,2021/7/15,null,null
洛基 第一季 / Loki Season 1,tt9140554,4,2021/7/10,null,null
有名歌手战 / 유명가수전,null,4,2021/6/27,null,null
带轮子的家 第二季 / 바퀴 달린 집 시즌2,null,3,2021/6/20,null,null
大秦帝国之纵横,tt5347966,5,2021/6/19,null,null
某天，灭亡从我家玄关进来了 / 어느 날 우리 집 현관으로 멸망이 들어왔다,tt13669128,2,2021/6/15,null,null
猎鹰与冬兵 / The Falcon and the Winter Soldier,tt9208876,4,2021/6/12,null,null
唐人街探案3,tt10370822,4,2021/5/1,null,null
悬崖之上,tt11448076,4,2021/4/30,null,出演阵容非常豪华。这是一个并不复杂的故事，但是节奏把握的很好，情节随着乌特拉任务日期的临近渐入高潮，而且我觉得难得的是，如此沉重的斗争氛围之下，周乙用钢笔在电影海报上画对勾的情节真是出其不意，不仅轻松戏耍挖苦了金志德，还成功将自己的嫌疑洗脱，具有别样的诙谐感。几位主演的表演没的说，把作为无产阶级革命者的必胜的信念，为革命献身的精神诠释的淋漓尽致。倪大红老师饰演的反派也很出彩，和周乙进行的正邪博弈势均力敌，看点十足。当然了，不足点我认为也不少。刘浩存真的太有灵气了，但是这恰恰是问题，这个人物给画面和情节带来了太多的跳脱感，大家费尽心思营造的质感被生生削弱，反倒是她水汪汪的的大眼睛让人印象深刻，太“突出”了。此外，小兰和楚良的爱情故事着墨甚少，导致影片最后两人阴阳相隔，观众却无法与角色共情。
盖亚奥特曼 ,tt0184168,5,2021/4/16,null,null
心灵奇旅 / Soul,tt2948372,4,2021/4/10,null,null
迪迦奥特曼 / ウルトラマンティガ,tt0182647,5,2021/4/7,null,永远的经典之作！
奇食记,null,4,2021/3/30,null,null
扎克·施奈德版正义联盟 / Zack Snyder's Justice League,tt12361974,4,2021/3/29,DC;科幻,纯DC路人。时长惊人，但投入进去意外的感觉不到冗长，几个角色很鲜明，超人的武力值设定真的太爆表，沉重的打击感，拳拳到肉可太爽了。蝙蝠侠有点小失望，纯输出的话恐怕是六人当中垫底的存在。慢镜头的运用很频繁，比较出彩，观感不错。据说可能没有后续电影了？单看这部我觉得蛮好的，希望还能在荧幕上再会。
青春有你 第三季,null,3,2021/3/29,null,食之无味，弃之可惜...其实我想看的不是这样精致面庞，单纯耍帅的男生和唱跳用力过猛，表演痕迹太重的舞台，什么时候大众的口味能变一变？
机智医生生活 / 슬기로운 의사생활,tt11769304,4,2021/3/29,tvN;韩国,观感很好，五位主演配合默契，向我们展现了非凡的友情。不过作为医疗剧，过于聚焦手术场景，其实还有很多可以拍的。期待下一季会带来怎样的新鲜感！
IZ*ONE线上演唱会ONE -THE STORY / IZ*ONE ONLINE CONCERT：ONE-THE STORY,null,5,2021/3/22,null,五星是给团体的，谢谢你们的陪伴。
BLACKPINK：THE SHOW,null,4,2021/3/16,null,舞台的打光是怎么回事？除此以外都很棒。心念的矮丸解散了，以后会多为粉墨应援的。
旺达幻视 / WandaVision,tt9140560,5,2021/3/13,null,null
胜利号 / 승리호,tt12838766,3,2021/3/1,null,特效还可以，可是其他方面有点乏善可陈，反派前期看似十分厉害，结尾却一下交了盒饭。小姑娘可爱，和大家的互动很温情，很有趣，不过这也是大概能猜到的情节，导致最后众人舍身时情绪达不到高点，有点遗憾。在我看来这片子各方面都差了一点，无论是配乐，剧情，画面，人设，虽然看到大团圆结局能明显的嗅到爆米花电影的味道，但总体上算是观感流畅的一部片子。
唐人街探案,tt5290882,4,2021/2/18,null,看完第二部又来看这个，从评分也能窥见一二，看完确实感觉故事完整性和悬念布置上胜过第二部，其他的都还是那味，宝强讲话又吵又魔性，昊然弟弟说话总感觉上不来气，第三部今年刚上口碑一般，找时间看一下。
唐人街探案2,tt7752454,3,2021/2/16,null,自己一直对推理侦探方面不感兴趣，前段时间机缘巧合窝在床上看了这部，果然，只记住了王宝强魔性的口音，刘昊然饰演最强大脑+推理大师有点奇怪，可能他和我印象中的侦探出入过大？但是看完印象还行，甚至有点意犹未尽。
你好生活 第二季,null,3,2021/2/15,null,目前看了第一期。小撒和小尼搭档很有默契，但是小撒的艺能感有些溢出，吵吵嚷嚷的耳膜难受。而且是我笑点太高了吗？他耍嘴皮子我居然觉得尬出天际，完全get不到趣味。
奔向爱情 / 런 온,tt13271834,5,2021/2/7,null,太奇妙了！剧情明明很简单，就是莫名的非常期待每周三是怎么回事！看了很愉快，嘴角疯狂上扬，都有点不好意思了哈哈。都说距离产生美，看这部只觉得哇，好配啊，太心动了，在看国剧时候从来没有过这样的感觉。因此对我来说，这就是我看过的最好的爱情片。希望将来我有机会亲自感受这份心动。
红色,tt7123930,5,2021/1/24,null,我好像明白为何分数如此之高了。
孤独的美食家 2020除夕特别篇 / 孤独のグルメ 2020 大晦日スペシャル,null,5,2021/1/17,null,每年都会记得看叔吃播跨年！最初喜欢的是日式小店的烟火气，看的越来越久，真的发现看五郎吃饭本身就很幸福！希望这个节目可以长久陪伴我们。
我在故宫六百年,tt13788976,4,2021/1/17,null,小的时候有幸去过故宫，红墙金瓦给我留下了很深的印象，长大了，纵观漫漫历史长河，对它只有赞叹。看到有那么的年轻面孔愿意潜心守护故宫的600余年光阴，心中悄悄泛起涟漪。我似乎对于传承的意义又多理解了几分。
流金岁月,tt12234182,4,2021/1/11,null,和妈一起看的，我其实对这种类型的电视剧没什么鉴赏能力，妈很喜欢，那我也很喜欢，就酱。
金刚川,tt13000980,3,2021/1/10,null,看完了没有什么记忆点...作为主旋律电影情感似乎不太饱满，结局理应十分悲壮，可是影片将一件事从不同视角刻画数次，我理解导演可能想要层层递进，最后直面战士们牺牲的场景达到电影高潮，然而多次叙述反而冲淡了这种悲壮，最后只记得这电影翻来覆去只讲了一件事，确实有点乏味。
带轮子的家 / 바퀴 달린 집,tt12834178,3,2021/1/7,null,只看了IU的那一期，不是特别吸引我，节目组刻意让灿满CP营业就罢了，主要还是缺乏趣味性，韩国拿的出手的景致在我们看来普普通通，而且食物花样不多嘉宾做的还没什么食欲...房车生活听上去挺浪漫的，但好像没有我想的那么美好？不过还是很喜欢吕珍九的性格，希望快快看到他的新剧。
2020最美的夜bilibili晚会,null,5,2021/1/1,null,不少节目蛮有特点，我很喜欢！
BLACKPINK：照亮天空 / BLACKPINK: Light Up the Sky,tt13058290,5,2020/12/2,null,null
夺冠,tt10670442,5,2020/11/29,null,null
姜子牙,tt11177804,5,2020/11/29,动画,看完这部影片，感觉有许多话想说却不知如何表达。
八佰,tt7294150,4,2020/11/5,淞沪会战,八百壮士是悲壮的，但是电影感觉后劲不足，过分煽情，打四星为了我们的英雄。
沉默的真相,tt11298328,5,2020/9/25,悬疑;法律;犯罪,非常棒，真的，真的。看到三兄弟相拥而泣，许诺下辈子再见那段，终于还是没能忍住眼眶中打转了很久的眼泪，这世上怎么会存在这样荒唐的承诺，荒唐到就此告别便是永远，荒唐到江阳永远无法亲眼看到沉冤昭雪，这样的结局，悲剧且现实。永远追求正义，永远相信光明，永不言弃，永世莫忘。
想哭的我戴上了猫的面具 / 泣きたい私は猫をかぶる,tt11958344,3,2020/7/19,null,null
风味人间 第二季,tt12057382,5,2020/7/7,中国大陆;纪录片;美食,第二季还是水准很高！果然美食纪录片只要有李立宏老师配音就不会差！
隐秘的角落,tt12477942,5,2020/7/7,null,null
如果国宝会说话 第三季,null,5,2020/6/25,null,null
国王：永远的君主 / 더 킹 : 영원의 군주,tt11228748,3,2020/6/18,Netflix;平行世界;韩国,目前看了六集，男女主我挺喜欢的，但是剧情一般般，交代了一个这么庞大的故事背景，有点担心会烂尾哎~
龙岭迷窟,tt12075220,4,2020/6/18,null,null
星际穿越 / Interstellar,tt0816692,5,2020/6/6,null,null
青春有你 第二季,null,3,2020/5/3,null,null
鬓边不是海棠红,tt12003266,4,2020/3/30,null,null
朋友请听好,null,3,2020/3/14,null,看了第一期，目前不是太吸引我，故事讲的有点单薄，我看节目不是主打的心灵慰藉吗，但是有点失望。
王国 第二季 / 킹덤 Season 2,tt9256448,5,2020/3/14,Netflix;丧尸,为了看这部特意在淘宝上买的奈飞会员，但买完才发现有不少人分享资源...好伤心！回到电视剧本身，我看有些朋友认为这一季讲了一个庞大的故事，世子李仓让位让人费解，治疗疫病的有效方法就是泡在水里也有点不合理。不过我倒觉的没啥，我一直认为凡是看剧过程中无法让我觉察出明显的bug就是好剧，这一季紧承上文，着重于对权力的描写，丧尸一如既往的逼真，尤其是最后一集的冰湖上的决斗令我印象深刻，猜想全智贤在下一季扮演的角色举足轻重。但是据说出品方有想拍10季的想法？千万别，就以一年一更的进度，10年后我孩子都有了好吧，能不拖沓就别拖沓。
叶问4：完结篇 / 葉問4：完結篇,tt2076298,4,2020/3/11,null,其实只看过叶问2...还是在同学家里的电视上看的。我并不是这个系列的粉丝，单从路人的视角看的话，甄子丹的打戏还是那么帅，每次出手比武的理由还是很单调，这次又加入了叶问儿子的戏份，稍微有点尬，不过瑕不掩瑜，总体上看的很过瘾。
奇异博士 / Doctor Strange,tt1211837,5,2020/3/8,null,这部是补片！复仇者联盟系列大部分影片都看过了，唯独少了这个。主要讲的是博士能力的由来，古一法师看起来非常厉害但是没有活到最后，死因有点莫名其妙。结尾部分不够高潮，我以为会是漫威常用的爆裂式画面，奇异博士大显身手扭转局面，有点遗憾，不过冲着漫威情怀，还是要给五星！
浪漫医生金师傅2 / 낭만닥터 김사부2,tt11504740,4,2020/3/3,null,本想给三星的，但是考虑到我很喜欢两位主演...还是打四星吧。第一部口碑很不错，可惜我没有看过，单就第二部讲的故事来说有点乏味，制造情节上的冲突也有些刻意，当然少不了的还是韩剧中惯有的两两组cp，没啥新鲜感。韩石圭的演技很棒！一出场就很有feel，真不愧是大男主啊！
老广的味道 第四季,null,4,2020/3/3,null,好久没看过美食类的纪录片啦，再次点名批评舌尖上的中国三，看看人家广东台拍出来的水准，再看看你，就只会植入广告...扯远了。说回这部，许多镜头构思很棒，对我们想看的食物特写给的也很足，大晚上的看这个真是饿呀。再一个，作为北方人，远在千里之外的沿海地区对我来说相当陌生，了解了不少新鲜事物。个人非常喜欢。
决战中途岛 / Midway,tt6924650,4,2020/2/25,null,空战场面宏大震撼，电影节奏把控也很好，但是对我来说惊喜感不足，除开空战的部分稍感乏味，给四星吧。
冰雪奇缘2 / Frozen II,tt4520988,5,2020/2/12,null,null
新世界,tt11459562,3,2020/2/7,null,null
庆余年 第一季,tt11273352,5,2020/1/28,null,null
囧妈,tt11172926,3,2020/1/26,null,null
奇葩说 第六季,null,4,2020/1/8,null,null
